Timestamp,Target_Nominal,OCR_Nominal,OCR_Bank,Score,Status,Catatan
2026-01-19 11:25:44,UNKNOWN,10546,0,0,REJECTED,❌ BANK NOT RECOGNIZED
2026-01-19 11:26:24,BCA,10546,0,0,REJECTED,❌ MISSING REQUIRED TEXT: M-TRANSFER
2026-01-19 11:37:04,UNKNOWN,10546,0,0,REJECTED,❌ BANK NOT RECOGNIZED
2026-01-19 11:38:33,UNKNOWN,10546,0,0,REJECTED,❌ BANK NOT RECOGNIZED
2026-01-19 11:50:18,BCA,10546,10546,0,REJECTED,❌ MISSING REQUIRED TEXT: M-TRANSFER
2026-01-19 11:56:05,BCA,10546,10546,0,REJECTED,❌ MISSING REQUIRED TEXT: M-TRANSFER
2026-01-19 11:57:25,BCA,10546,0,0,REJECTED,❌ NOMINAL NOT FOUND
2026-01-19 11:58:05,BCA,10546,0,0,REJECTED,❌ NOMINAL NOT FOUND
2026-01-19 12:00:49,BCA,10546,0,0,REJECTED,❌ NOMINAL NOT FOUND IN SCREENSHOT
2026-01-19 12:03:55,BSI,10546,10546,90,VERIFIED,"✅ Platform: BSI | ✅ Transaction Success Confirmed | ✅ Amount Perfect Match: Rp 10,546 | ✅ Unique submission | ✅ TX ID: FT24O9OYS3QM"
2026-01-19 12:04:27,BCA,10546,10546,80,VERIFIED,"✅ Platform: BCA | ✅ Transaction Success Confirmed | ✅ Amount Perfect Match: Rp 10,546 | ✅ Unique submission"
2026-01-19 12:05:18,BCA,10546,10546,40,REVIEW,"✅ Platform: BCA | ⚠️ No success confirmation found | ✅ Amount Perfect Match: Rp 10,546 | ✅ Unique submission"
2026-01-19 12:05:44,BCA,10546,10546,0,REJECTED,❌ DUPLICATE RECEIPT (Already submitted before)
